Число узлов n = 301
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9203202818e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00333 |    3.9202928085e-07    |    2.2135488603e-10    |    3.8917559922e+01    |
| 0.00667 |    3.9203202818e-07    |    1.0628537876e+01    |    7.7835070063e+01    |
| 0.01000 |    3.9202673891e-07    |    6.6519508581e+01    |    1.1675265631e+02    |
| 0.01333 |    3.9201611928e-07    |    1.0947860079e+02    |    1.5567048182e+02    |
| 0.01667 |    3.9200055585e-07    |    1.5028270109e+02    |    1.9458866969e+02    |
| 0.02000 |    3.9198017745e-07    |    1.9030352123e+02    |    2.3350733396e+02    |
| 0.02333 |    3.9195504260e-07    |    2.2994813443e+02    |    2.7242658084e+02    |
| 0.02667 |    3.9192518276e-07    |    2.6938244941e+02    |    3.1134650799e+02    |
| 0.03000 |    3.9189061678e-07    |    3.0868725285e+02    |    3.5026720344e+02    |
| 0.03333 |    3.9185135681e-07    |    3.4790673855e+02    |    3.8918874428e+02    |
| 0.03667 |    3.9180741114e-07    |    3.8706717160e+02    |    4.2811119546e+02    |
| 0.04000 |    3.9175878566e-07    |    4.2618516492e+02    |    4.6703460840e+02    |
| 0.04333 |    3.9170548469e-07    |    4.6527174862e+02    |    5.0595901975e+02    |
| 0.04667 |    3.9164751152e-07    |    5.0433453492e+02    |    5.4488445003e+02    |
| 0.05000 |    3.9158486868e-07    |    5.4337894411e+02    |    5.8381090230e+02    |
| 0.05333 |    3.9151755817e-07    |    5.8240893466e+02    |    6.2273836083e+02    |
| 0.05667 |    3.9144558161e-07    |    6.2142745678e+02    |    6.6166678976e+02    |
| 0.06000 |    3.9136894034e-07    |    6.6043674421e+02    |    7.0059613179e+02    |
| 0.06333 |    3.9128763550e-07    |    6.9943850765e+02    |    7.3952630682e+02    |
| 0.06667 |    3.9120166806e-07    |    7.3843406639e+02    |    7.7845721061e+02    |
| 0.07000 |    3.9111103890e-07    |    7.7742443975e+02    |    8.1738871345e+02    |
| 0.07333 |    3.9101574881e-07    |    8.1641041197e+02    |    8.5632065885e+02    |
| 0.07667 |    3.9091579854e-07    |    8.5539257895e+02    |    8.9525286215e+02    |
| 0.08000 |    3.9081118883e-07    |    8.9437138231e+02    |    9.3418510922e+02    |
| 0.08333 |    3.9070192039e-07    |    9.3334713471e+02    |    9.7311715511e+02    |
| 0.08667 |    3.9058799399e-07    |    9.7232003866e+02    |    1.0120487227e+03    |
| 0.09000 |    3.9046941039e-07    |    1.0112902007e+03    |    1.0509795015e+03    |
| 0.09333 |    3.9034617043e-07    |    1.0502576420e+03    |    1.0899091460e+03    |
| 0.09667 |    3.9021827498e-07    |    1.0892223069e+03    |    1.1288372747e+03    |
| 0.10000 |    3.9008572501e-07    |    1.1281840683e+03    |    1.1677634687e+03    |
| 0.10333 |    3.8994852157e-07    |    1.1671427333e+03    |    1.2066872699e+03    |
| 0.10667 |    3.8980666581e-07    |    1.2060980459e+03    |    1.2456081806e+03    |
| 0.11000 |    3.8966015900e-07    |    1.2450496899e+03    |    1.2845256613e+03    |
| 0.11333 |    3.8950900252e-07    |    1.2839972910e+03    |    1.3234391297e+03    |
| 0.11667 |    3.8935319790e-07    |    1.3229404177e+03    |    1.3623479598e+03    |
| 0.12000 |    3.8919274681e-07    |    1.3618785826e+03    |    1.4012514797e+03    |
| 0.12333 |    3.8902765108e-07    |    1.4008112425e+03    |    1.4401489711e+03    |
| 0.12667 |    3.8885791274e-07    |    1.4397377990e+03    |    1.4790396676e+03    |
| 0.13000 |    3.8868353397e-07    |    1.4786575980e+03    |    1.5179227536e+03    |
| 0.13333 |    3.8850451716e-07    |    1.5175699303e+03    |    1.5567973627e+03    |
| 0.13667 |    3.8832086494e-07    |    1.5564740302e+03    |    1.5956625769e+03    |
| 0.14000 |    3.8813258013e-07    |    1.5953690757e+03    |    1.6345174247e+03    |
| 0.14333 |    3.8793966581e-07    |    1.6342541879e+03    |    1.6733608803e+03    |
| 0.14667 |    3.8774212529e-07    |    1.6731284298e+03    |    1.7121918624e+03    |
| 0.15000 |    3.8753996217e-07    |    1.7119908061e+03    |    1.7510092325e+03    |
| 0.15333 |    3.8733318032e-07    |    1.7508402620e+03    |    1.7898117940e+03    |
| 0.15667 |    3.8712178390e-07    |    1.7896756825e+03    |    1.8285982907e+03    |
| 0.16000 |    3.8690577740e-07    |    1.8284958914e+03    |    1.8673674060e+03    |
| 0.16333 |    3.8668516560e-07    |    1.8672996505e+03    |    1.9061177613e+03    |
| 0.16667 |    3.8645995364e-07    |    1.9060856584e+03    |    1.9448479148e+03    |
| 0.17000 |    3.8623014701e-07    |    1.9448525498e+03    |    1.9835563607e+03    |
